-1.486,-0.482
2.970,-0.108
7.328,-0.045
12.083,0.047
16.558,0.111
21.025,0.164
25.787,0.072
28.984,-0.020
32.759,-0.154
35.958,-0.307
39.118,-0.687
40.875,-1.293
42.121,-2.252
43.646,-4.053
44.177,-5.178
44.533,-7.280
44.578,-9.589
44.450,-11.712
44.000,-13.947
43.304,-15.778
42.098,-17.988
39.945,-20.372
37.047,-22.277
33.818,-23.700
30.627,-24.673
27.016,-25.752
24.232,-26.317
22.439,-26.514
18.285,-25.484
16.091,-23.701
14.698,-22.458
12.667,-20.610
10.529,-18.831
8.530,-17.278
5.052,-15.576
1.078,-15.538
-2.810,-16.672
-5.360,-21.185
-5.656,-25.184
-5.344,-27.963
-4.892,-30.564
-5.492,-33.327
-6.943,-36.372
-8.208,-40.806
-7.305,-43.728
-5.903,-45.867
-3.667,-48.662
-0.660,-50.529
3.991,-51.116
8.587,-50.448
12.436,-49.919
14.713,-50.132
17.027,-50.614
18.353,-51.419
21.098,-53.532
23.506,-56.551
25.664,-59.905
27.223,-62.741
28.152,-65.849
28.166,-68.689
27.509,-70.439
25.850,-71.939
23.557,-72.221
20.365,-72.220
16.139,-71.209
11.935,-70.180
8.004,-69.249
4.509,-68.377
0.613,-67.311
-2.177,-65.616
-4.088,-63.685
-5.944,-61.393
-8.105,-59.103
-10.244,-57.032
-13.167,-53.765
-15.273,-51.462
-17.300,-49.113
-20.388,-45.547
-22.764,-42.359
-23.767,-39.976
-24.094,-36.829
-24.147,-32.664
-23.961,-28.903
-23.314,-25.044
-22.566,-21.331
-21.546,-17.725
-20.479,-14.060
-19.139,-10.063
-17.106,-7.737
-14.494,-5.291
-12.703,-3.994
-10.601,-2.859
-6.486,-1.533
-3.752,-0.861
