x_m,y_m,r
0,0,-6.55178180109587e-05
0.100613189737843,0.000302312129166835,-6.55178180109587e-05
0.201226379473486,0.000603961011579333,-6.55178205983268e-05
0.30183956920253,0.000904946647237524,-6.55178231867712e-05
0.402452758920577,0.00120526903614146,-6.55178257731317e-05
0.503065948623228,0.00150492817829124,-6.55178283618334e-05
0.603679138306084,0.00180392407368697,-6.55178309477147e-05
0.704292327964745,0.00210225672232881,-6.55178335371482e-05
0.804905517594813,0.00239992612421692,-6.55178361249378e-05
0.905518707191888,0.0026969322793515,-6.55178387107196e-05
1.00613189675157,0.0029932751877328,-6.55178413016681e-05
1.10674508626947,0.00328895484936108,-6.55178438840292e-05
1.20735827574117,0.00358397126423663,-6.55178464785117e-05
1.30797146516229,0.00387832443235976,-6.55178490621213e-05
1.40858465452842,0.00417201435373083,-6.55178516498002e-05
1.50919784383516,0.00446504102835022,-6.55178542409373e-05
1.60981103307812,0.00475740445621833,-6.55178568276283e-05
1.7104242222529,0.00504910463733561,-6.55178594129532e-05
1.81103741135509,0.00534014157170252,-6.55178620032562e-05
1.9116506003803,0.00563051525931956,-6.5517864592433e-05
2.01226378932413,0.00592022570018724,-6.5517867177912e-05
2.11287697818218,0.00620927289430614,-6.55178697677438e-05
2.21349016695005,0.00649765684167682,-6.55178723571213e-05
2.31410335562335,0.00678537754229991,-6.55178749403824e-05
2.41471654419766,0.00707243499617604,-6.55178775340307e-05
2.5153297326686,0.00735882920330588,-6.55178801201826e-05
2.61594292103177,0.00764456016369015,-6.55178827083348e-05
2.71655610928276,0.00792962787732955,-6.55178852996191e-05
2.81716929741719,0.00821403234422486,-6.55178878804558e-05
2.91778248543063,0.00849777356437686,-6.55178904764758e-05
3.01839567331871,0.00878085153778637,-6.55178930614475e-05
3.11900886107702,0.00906326626445424,-6.55178956513601e-05
3.21962204870116,0.00934501774438133,-6.5517898240519e-05
3.32023523618674,0.00962610597756856,-6.55179008248531e-05
3.42084842352934,0.00990653096401685,-6.55179034176542e-05
3.52146161072459,0.0101862927037272,-6.55179060077818e-05
3.62207479776806,0.0104653911967005,-6.55179085919169e-05
3.72268798465538,0.0107438264429379,-6.55179111795164e-05
3.82330117138213,0.0110215984424404,-6.55179137689765e-05
3.92391435794392,0.0112987071952091,-6.5517916368102e-05
4.02452754433635,0.011575152701245,-6.55179189431421e-05
4.12514073055503,0.0118509349605494,-6.55179215429355e-05
4.22575391659554,0.0121260539731233,-6.55179241267958e-05
4.3263671024535,0.012400509738968,-6.55179267050737e-05
4.4269802881245,0.0126743022580848,-6.55179293121266e-05
4.52759347360415,0.0129474315304748,-6.5517931896015e-05
4.62820665888804,0.0132198975561393,-6.55179344794193e-05
4.72881984397178,0.0134917003350797,-6.55179370622358e-05
4.82943302885097,0.0137628398672974,-6.55179396775082e-05
4.93004621352121,0.0140333161527935,-6.5517942237096e-05
5.0306593979781,0.0143031291915697,-6.55179448386728e-05
5.13127258221724,0.0145722789836273,-6.55179474336436e-05
5.23188576623423,0.0148407655289677,-6.55179500111849e-05
5.33249895002467,0.0151085888275925,-6.55179526147183e-05
5.43311213358417,0.0153757488795031,-6.55179551883638e-05
5.53372531690833,0.0156422456847012,-6.5517957792153e-05
5.63433849999274,0.0159080792431882,-6.55179603746139e-05
5.73495168283301,0.0161732495549658,-6.5517962956621e-05
5.83556486542474,0.0164377566200357,-6.55179655503409e-05
5.93617804776352,0.0167016004383995,-6.55179681533005e-05
6.03679122984497,0.0169647810100588,-6.55179707322944e-05
6.13740441166468,0.0172272983350154,-6.5517973316502e-05
6.23801759321825,0.0174891524132711,-6.55179759063632e-05
6.33863077450129,0.0177503432448277,-6.5517978514348e-05
6.43924395550939,0.0180108708296868,-6.55179810797689e-05
6.53985713623816,0.0182707351678505,-6.55179836837714e-05
6.64047031668319,0.0185299362593205,-6.55179862675539e-05
6.7410834968401,0.0187884741040988,-6.55179888644119e-05
6.84169667670447,0.0190463487021872,-6.55179914519925e-05
6.94230985627191,0.0193035600535877,-6.55179940306432e-05
7.04292303553802,0.0195601081583024,-6.55179966334955e-05
7.14353621449841,0.0198159930163332,-6.55179992218892e-05
7.24414939314866,0.0200712146276821,-6.55180018048089e-05
